group,n_random,n_bts,clicks_random,clicks_bts,population_weight_raw,v_random,v_bts,v0_ref,v1_ref,delta_ref,ref_se,ref_ci_lower,ref_ci_upper,ref_ci_width,reference_status,reference_interval_method,population_weight,campaign,direction,metrics_version,runner_revision
1,14767,132736,73,822,147503,0.004943455001015779,0.006192743490838959,0.006192743490838959,0.004943455001015779,-0.0012492884898231797,0.0006160149689952465,-0.002349243358110294,8.188278680813376e-05,0.0024311261449184276,ambiguous,newcombe_wilson_difference,0.03353582496792563,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,14775,132702,60,666,147477,0.0040609137055837565,0.005018763846814668,0.005018763846814668,0.0040609137055837565,-0.0009578501412309112,0.0005580001692355073,-0.0019447332661591268,0.0002607489279391152,0.0022054821940982417,ambiguous,newcombe_wilson_difference,0.033529913688499675,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
3,18330,164253,82,981,182583,0.00447354064375341,0.005972493653083962,0.005972493653083962,0.00447354064375341,-0.0014989530093305519,0.0005283069840049706,-0.0024479938288187613,-0.0003645175775991345,0.0020834762512196266,harmful,newcombe_wilson_difference,0.04151150505493966,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
4,18343,164312,98,1015,182655,0.005342637518399389,0.006177272505964263,0.006177272505964263,0.005342637518399389,-0.0008346349875648735,0.0005718998557307747,-0.0018676445572804415,0.0003854909342860392,0.002253135491566481,ambiguous,newcombe_wilson_difference,0.04152787475181152,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
5,18333,164304,70,885,182637,0.0038182512409316535,0.005386356996786444,0.005386356996786444,0.0038182512409316535,-0.0015681057558547908,0.0004899827476868031,-0.0024429388994114567,-0.0005085677856422669,0.0019343711137691899,harmful,newcombe_wilson_difference,0.04152378232759356,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,7173,64396,29,435,71569,0.004042938798271295,0.0067550779551524935,0.0067550779551524935,0.004042938798271295,-0.0027121391568811987,0.0008158091668798585,-0.004106175275758326,-0.0008539195158913575,0.0032522557598669687,harmful,newcombe_wilson_difference,0.016271706047534418,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
7,7174,64421,54,427,71595,0.007527181488709228,0.006628273389112246,0.006628273389112246,0.007527181488709228,0.0008989080995969812,0.0010693647544106062,-0.0009732967786551892,0.0032563591058669904,0.00422965588452218,ambiguous,newcombe_wilson_difference,0.016277617326960366,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
8,7172,64431,31,342,71603,0.004322364751812605,0.0053080039111607765,0.0053080039111607765,0.004322364751812605,-0.0009856391593481718,0.0008258405842290373,-0.002391562717556326,0.0008974027707443449,0.0032889654883006708,ambiguous,newcombe_wilson_difference,0.01627943618216835,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
12,66599,997570,307,7590,1064169,0.0046096788240063665,0.0076084886273644955,0.0076084886273644955,0.0046096788240063665,-0.002998809803358129,0.00027652371919435704,-0.0035151108227006256,-0.002429459651692423,0.0010856511710082028,harmful,newcombe_wilson_difference,0.24194616597826787,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
13,66615,998014,290,7304,1064629,0.004353373864745177,0.007318534609734933,0.007318534609734933,0.004353373864745177,-0.002965160744989756,0.0002689724657983713,-0.003466710246937609,-0.0024106062918768595,0.0010561039550607493,harmful,newcombe_wilson_difference,0.242050750152727,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
14,66606,997929,280,6189,1064535,0.004203825481187881,0.0062018440189632726,0.0062018440189632726,0.004203825481187881,-0.0019980185377753918,0.0002627273587357656,-0.0024871274638050564,-0.001455480393768723,0.0010316470700363334,harmful,newcombe_wilson_difference,0.24202937860403317,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
-1,452949,4077727,2321,27495,4530676,0.005124197205424894,0.006742727014339116,0.006742727014339116,0.005124197205424894,-0.0016185298089142226,0.00011356671307037204,-0.001837409238869175,-0.0013921407145646618,0.0004452685243045132,harmful,newcombe_wilson_difference,1.0,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
0,2995,26856,19,183,29851,0.006343906510851419,0.006814119749776586,0.006343906510851419,0.006814119749776586,0.0004702132389251667,0.0015351636469035004,-0.0031897260794046408,0.0029821514888743743,0.006171877568279015,ambiguous,newcombe_wilson_difference,0.0035393216728941625,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
1,2994,26862,11,138,29856,0.003674014696058784,0.00513736877373241,0.003674014696058784,0.00513736877373241,0.0014633540776736263,0.0011886484907061578,-0.0015350131315209725,0.0033316745346578663,0.004866687666178839,ambiguous,newcombe_wilson_difference,0.0035399145042353058,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,2994,26862,9,150,29856,0.003006012024048096,0.005584096493187403,0.003006012024048096,0.005584096493187403,0.0025780844691393064,0.001098960428702235,-0.00024214036124865345,0.004297773816772444,0.004539914178021098,ambiguous,newcombe_wilson_difference,0.0035399145042353058,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,52429,472959,221,2712,525388,0.0042152243987106375,0.005734112259202172,0.0042152243987106375,0.005734112259202172,0.0015188878604915348,0.00030350322823994913,0.0008902819054855444,0.0020826756145312193,0.001192393709045675,beneficial,newcombe_wilson_difference,0.062293294532126835,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
7,52465,473055,235,2857,525520,0.004479176593919756,0.0060394668696029,0.004479176593919756,0.0060394668696029,0.0015602902756831445,0.0003125411922646787,0.0009140306243886301,0.002141763967377866,0.0012277333429892357,beneficial,newcombe_wilson_difference,0.06230894527953302,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
8,52460,473048,247,2740,525508,0.004708349218452154,0.005792224044917218,0.004708349218452154,0.005792224044917218,0.0010838748264650642,0.00031859409210759396,0.00042555438168345944,0.0016769359052967675,0.001251381523613308,beneficial,newcombe_wilson_difference,0.06230752248431427,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
9,167394,2088324,772,13389,2255718,0.004611873782811809,0.006411361455406345,0.004611873782811809,0.006411361455406345,0.0017994876725945363,0.00017456908033279542,0.0014466262339218083,0.002131355411513967,0.0006847291775921589,beneficial,newcombe_wilson_difference,0.26745206543624916,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
10,167444,2088780,797,13390,2256224,0.00475980029144072,0.0064104405442411356,0.00475980029144072,0.0064104405442411356,0.0016506402528004152,0.00017703172892366765,0.0012929416713160003,0.0019873162809707764,0.0006943746096547761,beneficial,newcombe_wilson_difference,0.2675120599679729,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
11,167430,2088751,709,13980,2256181,0.004234605506778953,0.00669299500036146,0.004234605506778953,0.00669299500036146,0.0024583894935825074,0.00016842670306087257,0.0021176392106659215,0.0027783131495730806,0.0006606739389071591,beneficial,newcombe_wilson_difference,0.26750696161843907,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
-1,864585,7765497,4163,49539,8630082,0.004815026862598819,0.006379372756180319,0.004815026862598819,0.006379372756180319,0.0015643458935815004,7.974097278565839e-05,0.0014060711899959895,0.0017186874046497642,0.0003126162146537747,beneficial,newcombe_wilson_difference,1.0,women,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
0,2995,26856,19,183,29851,0.006343906510851419,0.006814119749776586,0.006814119749776586,0.006343906510851419,-0.0004702132389251667,0.0015351636469035004,-0.0029821514888743743,0.0031897260794046408,0.006171877568279015,ambiguous,newcombe_wilson_difference,0.0035393216728941625,women,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
1,2994,26862,11,138,29856,0.003674014696058784,0.00513736877373241,0.00513736877373241,0.003674014696058784,-0.0014633540776736263,0.0011886484907061578,-0.0033316745346578663,0.0015350131315209725,0.004866687666178839,ambiguous,newcombe_wilson_difference,0.0035399145042353058,women,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,2994,26862,9,150,29856,0.003006012024048096,0.005584096493187403,0.005584096493187403,0.003006012024048096,-0.0025780844691393064,0.001098960428702235,-0.004297773816772444,0.00024214036124865345,0.004539914178021098,ambiguous,newcombe_wilson_difference,0.0035399145042353058,women,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,52429,472959,221,2712,525388,0.0042152243987106375,0.005734112259202172,0.005734112259202172,0.0042152243987106375,-0.0015188878604915348,0.00030350322823994913,-0.0020826756145312193,-0.0008902819054855444,0.001192393709045675,harmful,newcombe_wilson_difference,0.062293294532126835,women,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
