campaign,direction,n_label,method,deployment_coverage,clear_harmful_exposure,ambiguous_deployment_exposure,clear_beneficial_deployment_exposure,sign_agreement,hybrid_value,reference_clear_policy_value,hybrid_minus_reference_clear_policy,reference_sign_selective_value,hybrid_minus_reference_sign_selective,clear_reference_weight,ambiguous_reference_weight,runner_revision
men,bts_to_random,500000,bootstrap_dr,0.0037521959834675156,0.0016758022458769396,0.002076393737590576,0.0,0.9928571428571429,0.0067283067951988546,0.006733597705286203,-5.290910087348347e-06,0.006748229787343548,-1.992299214469244e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,full,bb_dr,0.0,0.0,0.0,0.0,1.0,0.006733597705286203,0.006733597705286203,0.0,0.006748229787343547,-1.4632082057344092e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,full,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.006733597705286203,0.006733597705286203,0.0,0.006748229787343547,-1.4632082057344092e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,10000,bb_dr,0.11249772927295128,0.0,0.03095466480658407,0.08154306446636721,0.15,0.0046875306160084045,0.006623510967632073,-0.0019359803516236702,0.006748229787343548,-0.0020606991713351423,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,10000,bootstrap_dr,0.06679418357387315,0.0,0.010630117377547276,0.05616406619632587,0.08571428571428572,0.0046103886543948855,0.006623510967632073,-0.002013122313237189,0.006748229787343548,-0.0021378411329486613,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,100000,bb_dr,0.2223180127369883,0.0,0.01839576515941925,0.20392224757756905,0.16428571428571428,0.005014802007828386,0.006623510967632073,-0.0016087089598036883,0.006748229787343548,-0.001733427779515161,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,100000,bootstrap_dr,0.1865421084305985,0.0,0.015091121235566532,0.171450987195032,0.10714285714285714,0.004947734192152475,0.006623510967632073,-0.0016757767754796,0.006748229787343548,-0.0018004955951910723,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,250000,bb_dr,0.28210175994703496,0.0,0.025151868725944222,0.2569498912210907,0.16428571428571428,0.0052043536443302785,0.006623510967632073,-0.001419157323301796,0.006748229787343548,-0.0015438761430132686,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,250000,bootstrap_dr,0.2879557113303994,0.0,0.02179828622915166,0.26615742510124774,0.15714285714285714,0.005230979338378712,0.006623510967632073,-0.0013925316292533615,0.006748229787343548,-0.001517250448964834,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,50000,bb_dr,0.11044102464298715,0.0,0.017883609636385835,0.0925574150066013,0.09285714285714285,0.0047179680844688125,0.006623510967632073,-0.0019055428831632614,0.006748229787343548,-0.002030261702874734,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,50000,bootstrap_dr,0.07304538430250654,0.0,0.010874719299486106,0.062170665003020445,0.04285714285714286,0.004628155108720047,0.006623510967632073,-0.0019953558589120264,0.006748229787343548,-0.0021200746786234994,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,full,bb_dr,0.2754819909461935,0.0,0.03353582496792563,0.24194616597826787,0.14285714285714285,0.005221482126838548,0.006623510967632074,-0.0014020288407935264,0.006748229787343547,-0.001526747660504999,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,random_to_bts,full,bootstrap_dr,0.2754819909461935,0.0,0.03353582496792563,0.24194616597826787,0.14285714285714285,0.005221482126838548,0.006623510967632074,-0.0014020288407935264,0.006748229787343547,-0.001526747660504999,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,10000,bb_dr,0.016815222296339312,0.01557631150299107,0.0012389107933482428,0.0,0.9583333333333334,0.006353638942759987,0.00637650389204141,-2.2864949281422698e-05,0.00637650389204141,-2.2864949281422698e-05,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,10000,bootstrap_dr,0.0038233293834957173,0.0031153761242157137,0.000707953259280004,0.0,0.9916666666666666,0.0063720696777273215,0.00637650389204141,-4.434214314089427e-06,0.00637650389204141,-4.434214314089427e-06,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,100000,bb_dr,0.0008849489844917693,0.0,0.0008849489844917693,0.0,1.0,0.0063747927430390025,0.00637650389204141,-1.7111490024072743e-06,0.00637650389204141,-1.7111490024072743e-06,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,100000,bootstrap_dr,0.0003539618088564734,0.0,0.0003539618088564734,0.0,1.0,0.0063761616728298205,0.00637650389204141,-3.4221921158981636e-07,0.00637650389204141,-3.4221921158981636e-07,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,250000,bb_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,250000,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,50000,bb_dr,0.0019468640526282468,0.0,0.0019468640526282468,0.0,1.0,0.006373590289783385,0.00637650389204141,-2.9136022580257027e-06,0.00637650389204141,-2.9136022580257027e-06,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,50000,bootstrap_dr,0.00035399145042353057,0.0,0.00035399145042353057,0.0,1.0,0.006375788574694919,0.00637650389204141,-7.153173464918839e-07,0.00637650389204141,-7.153173464918839e-07,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,500000,bb_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,500000,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,full,bb_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,bts_to_random,full,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.00637650389204141,0.00637650389204141,0.0,0.00637650389204141,0.0,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,10000,bb_dr,0.1329441889604845,0.0,0.0019468344110611896,0.13099735454942327,0.15833333333333333,0.0047485265654126935,0.006360533309204162,-0.001612006743791468,0.00637650389204141,-0.0016279773266287157,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,10000,bootstrap_dr,0.043235474268629906,0.0,0.0,0.043235474268629906,0.03333333333333333,0.004595620815496913,0.006360533309204162,-0.0017649124937072496,0.00637650389204141,-0.0017808830765444973,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,100000,bb_dr,0.2585917801326093,0.0,0.0031857155628423747,0.2554060645697669,0.21666666666666665,0.004967904848985476,0.006360533309204162,-0.0013926284602186858,0.00637650389204141,-0.0014085990430559336,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,100000,bootstrap_dr,0.18559285268307166,0.0,0.00017699572521176528,0.1854158569578599,0.16666666666666666,0.004835901504051914,0.006360533309204162,-0.0015246318051522479,0.00637650389204141,-0.0015406023879894956,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,250000,bb_dr,0.4614700592902481,0.0,0.0010619150681364774,0.4604081442221116,0.4083333333333333,0.005324652280239076,0.006360533309204162,-0.0010358810289650858,0.00637650389204141,-0.0010518516118023335,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,250000,bootstrap_dr,0.4545328062193225,0.0,0.00035399145042353057,0.45417881476889893,0.39166666666666666,0.005314308886416356,0.006360533309204162,-0.0010462244227878057,0.00637650389204141,-0.0010621950056250535,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,50000,bb_dr,0.15783979136130913,0.0,0.002300796219917663,0.15553899514139147,0.14166666666666666,0.004803217356399988,0.006360533309204162,-0.0015573159528041746,0.00637650389204141,-0.0015732865356414224,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,50000,bootstrap_dr,0.12347383870861414,0.0,0.0,0.12347383870861414,0.08333333333333333,0.00474882180438268,0.006360533309204162,-0.0016117115048214826,0.00637650389204141,-0.0016276820876587304,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,500000,bb_dr,0.7520861557045434,0.0,0.00017699572521176528,0.7519091599793316,0.6666666666666666,0.005883807482929889,0.006360533309204162,-0.00047672582627427296,0.00637650389204141,-0.0004926964091115207,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,500000,bootstrap_dr,0.7662004858371407,0.0,0.0,0.7662004858371407,0.65,0.005931545646305674,0.006360533309204162,-0.000428987662898489,0.00637650389204141,-0.0004449582457357368,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,full,bb_dr,0.9270719040391022,0.0,0.0,0.9270719040391022,0.8333333333333334,0.006263313267796434,0.006360533309204162,-9.722004140772823e-05,0.00637650389204141,-0.00011319062424497602,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
women,random_to_bts,full,bootstrap_dr,0.9270719040391022,0.0,0.0,0.9270719040391022,0.8333333333333334,0.006263313267796434,0.006360533309204162,-9.722004140772823e-05,0.00637650389204141,-0.00011319062424497602,0.9893808493186353,0.010619150681364774,PRE-PAPER-FINAL-R6-DRFIX
